1,210,140,260,120,00:00:35,4,4,1,100
2,280,185,345,160,00:04:30,2,6,1,90
3,370,250,460,210,00:09:35,2,8,2,81
4,495,330,610,280,00:18:00,2,10,2,73
5,655,440,815,375,00:42:00,2,12,2,66
6,875,585,1080,500,01:36:00,3,15,3,59
7,1160,775,1440,665,02:25:00,3,18,4,53
8,1545,1030,1915,885,03:20:00,3,21,4,48
9,2055,1370,2545,1175,04:00:00,3,24,5,43
10,2735,1825,3385,1565,04:35:00,3,27,6,39
11,3635,2425,4505,2080,05:35:00,3,30,7,35
12,4835,3225,5990,2765,06:35:00,3,33,9,31
13,6435,4290,7965,3675,07:50:00,3,36,11,28
14,8555,5705,10595,4890,08:50:00,3,39,13,25
15,11380,7585,14090,6505,10:10:00,3,42,15,23
16,15135,10090,18740,8650,11:25:00,4,46,18,21
17,20130,13420,24925,11505,13:10:00,4,50,22,19
18,26775,17850,33150,15300,15:35:00,4,54,27,17
19,35610,23740,44085,20345,18:00:00,4,58,32,15
20,47360,31575,58635,27060,20:25:00,4,62,38,14
