1,220,160,90,40,00:00:35,4,4,5
2,295,215,120,55,00:04:25,2,6,6
3,390,285,160,70,00:09:20,2,8,7
4,520,375,210,95,00:17:30,2,10,8
5,690,500,280,125,00:41:00,2,12,10
6,915,665,375,165,01:34:00,3,15,12
7,1220,885,500,220,02:20:00,3,18,14
8,1620,1180,665,295,03:15:00,3,21,17
9,2155,1565,880,390,03:55:00,3,24,21
10,2865,2085,1170,520,04:30:00,3,27,25
11,3810,2770,1560,695,05:30:00,3,30,30
12,5065,3685,2075,920,06:25:00,3,33,36
13,6740,4900,2755,1225,07:35:00,3,36,43
14,8965,6520,3665,1630,08:35:00,3,39,51
15,11920,8670,4875,2170,09:55:00,3,42,62
16,15855,11530,6485,2885,11:05:00,4,46,74
17,21090,15335,8625,3835,12:50:00,4,50,89
18,28050,20400,11475,5100,15:15:00,4,54,106
19,37305,27130,15260,6780,17:35:00,4,58,128
20,49615,36085,20295,9020,19:55:00,4,62,153
